,age,workclass,education,marital.status,occupation,race,sex,native.country,income,partition
25647,62-68,Without-pay,"Assoc-acdm,Some-college","Married-civ-spouse,Married-spouse-absent","Farming-fishing,Adm-clerical",White,"Male,Female",United-States,<=50K,0
29318,62-68,Without-pay,"Assoc-acdm,Some-college","Married-civ-spouse,Married-spouse-absent","Farming-fishing,Adm-clerical",White,"Male,Female",United-States,<=50K,0
32294,62-68,Without-pay,"Assoc-acdm,Some-college","Married-civ-spouse,Married-spouse-absent","Farming-fishing,Adm-clerical",White,"Male,Female",United-States,<=50K,0
12271,19,Without-pay,HS-grad,Never-married,Farming-fishing,White,Male,United-States,<=50K,1
23587,19,Without-pay,HS-grad,Never-married,Farming-fishing,White,Male,United-States,<=50K,1
3277,21-29,Without-pay,"HS-grad,Some-college","Never-married,Married-civ-spouse","Handlers-cleaners,Craft-repair,Farming-fishing","White,Black",Male,United-States,<=50K,2
17760,21-29,Without-pay,"HS-grad,Some-college","Never-married,Married-civ-spouse","Handlers-cleaners,Craft-repair,Farming-fishing","White,Black",Male,United-States,<=50K,2
26423,21-29,Without-pay,"HS-grad,Some-college","Never-married,Married-civ-spouse","Handlers-cleaners,Craft-repair,Farming-fishing","White,Black",Male,United-States,<=50K,2
8874,17-23,Never-worked,"10th,7th-8th","Never-married,Divorced",?,White,Male,United-States,<=50K,3
13675,17-23,Never-worked,"10th,7th-8th","Never-married,Divorced",?,White,Male,United-States,<=50K,3
17089,17-23,Never-worked,"10th,7th-8th","Never-married,Divorced",?,White,Male,United-States,<=50K,3
3914,65,Without-pay,"HS-grad,7th-8th","Married-civ-spouse,Widowed","Transport-moving,Farming-fishing",White,"Male,Female",United-States,<=50K,4
5866,65,Without-pay,"HS-grad,7th-8th","Married-civ-spouse,Widowed","Transport-moving,Farming-fishing",White,"Male,Female",United-States,<=50K,4
16838,22-34,Local-gov,"5th-6th,Preschool",Never-married,"Other-service,Adm-clerical,Handlers-cleaners","Other,Black,White","Female,Male","El-Salvador,United-States,Guatemala",<=50K,5
27931,22-34,Local-gov,"5th-6th,Preschool",Never-married,"Other-service,Adm-clerical,Handlers-cleaners","Other,Black,White","Female,Male","El-Salvador,United-States,Guatemala",<=50K,5
32255,22-34,Local-gov,"5th-6th,Preschool",Never-married,"Other-service,Adm-clerical,Handlers-cleaners","Other,Black,White","Female,Male","El-Salvador,United-States,Guatemala",>50K,5
968,33-35,Federal-gov,Doctorate,"Married-civ-spouse,Never-married",Prof-specialty,"White,Amer-Indian-Eskimo","Male,Female",United-States,>50K,6
19147,33-35,Federal-gov,Doctorate,"Married-civ-spouse,Never-married",Prof-specialty,"White,Amer-Indian-Eskimo","Male,Female",United-States,>50K,6
21407,33-35,Federal-gov,Doctorate,"Married-civ-spouse,Never-married",Prof-specialty,"White,Amer-Indian-Eskimo","Male,Female",United-States,<=50K,6
17193,28-35,Federal-gov,"5th-6th,10th","Never-married,Married-civ-spouse","Craft-repair,Other-service","White,Amer-Indian-Eskimo","Male,Female","Mexico,United-States",<=50K,7
31005,28-35,Federal-gov,"5th-6th,10th","Never-married,Married-civ-spouse","Craft-repair,Other-service","White,Amer-Indian-Eskimo","Male,Female","Mexico,United-States",<=50K,7
3889,22-36,Self-emp-inc,7th-8th,"Married-civ-spouse,Never-married",Craft-repair,"White,Black",Male,United-States,<=50K,8
19957,22-36,Self-emp-inc,7th-8th,"Married-civ-spouse,Never-married",Craft-repair,"White,Black",Male,United-States,<=50K,8
13026,17-27,Self-emp-inc,"9th,12th","Never-married,Married-civ-spouse","Craft-repair,Sales","White,Other","Male,Female","United-States,Dominican-Republic",<=50K,9
17154,17-27,Self-emp-inc,"9th,12th","Never-married,Married-civ-spouse","Craft-repair,Sales","White,Other","Male,Female","United-States,Dominican-Republic",<=50K,9
27885,17-27,Self-emp-inc,"9th,12th","Never-married,Married-civ-spouse","Craft-repair,Sales","White,Other","Male,Female","United-States,Dominican-Republic",<=50K,9
21934,18,Never-worked,"11th,Some-college",Never-married,?,White,"Female,Male",United-States,<=50K,10
32338,18,Never-worked,"11th,Some-college",Never-married,?,White,"Female,Male",United-States,<=50K,10
24483,20-30,Never-worked,"Some-college,HS-grad","Never-married,Married-civ-spouse",?,Black,"Male,Female",United-States,<=50K,11
32331,20-30,Never-worked,"Some-college,HS-grad","Never-married,Married-civ-spouse",?,Black,"Male,Female",United-States,<=50K,11
20806,61-81,State-gov,"1st-4th,5th-6th","Widowed,Married-civ-spouse","Other-service,Transport-moving",White,"Female,Male",United-States,<=50K,12
28072,61-81,State-gov,"1st-4th,5th-6th","Widowed,Married-civ-spouse","Other-service,Transport-moving",White,"Female,Male",United-States,<=50K,12
20436,39-54,Federal-gov,"12th,9th","Never-married,Married-civ-spouse","Other-service,Adm-clerical,Machine-op-inspct","Black,White","Female,Male",United-States,<=50K,13
25039,39-54,Federal-gov,"12th,9th","Never-married,Married-civ-spouse","Other-service,Adm-clerical,Machine-op-inspct","Black,White","Female,Male",United-States,<=50K,13
28969,39-54,Federal-gov,"12th,9th","Never-married,Married-civ-spouse","Other-service,Adm-clerical,Machine-op-inspct","Black,White","Female,Male",United-States,>50K,13
18874,46-52,Without-pay,HS-grad,Married-civ-spouse,"Machine-op-inspct,Adm-clerical",White,Female,United-States,<=50K,14
23337,46-52,Without-pay,HS-grad,Married-civ-spouse,"Machine-op-inspct,Adm-clerical",White,Female,United-States,<=50K,14
28377,67-72,Without-pay,HS-grad,Married-civ-spouse,"Other-service,Adm-clerical","White,Asian-Pac-Islander",Male,"United-States,Philippines",<=50K,15
29605,67-72,Without-pay,HS-grad,Married-civ-spouse,"Other-service,Adm-clerical","White,Asian-Pac-Islander",Male,"United-States,Philippines",<=50K,15
8610,23-33,Self-emp-not-inc,1st-4th,"Married-spouse-absent,Married-civ-spouse","Craft-repair,Sales",White,Male,"Mexico,United-States",<=50K,16
23301,23-33,Self-emp-not-inc,1st-4th,"Married-spouse-absent,Married-civ-spouse","Craft-repair,Sales",White,Male,"Mexico,United-States",<=50K,16
